year,decile,total,people,pop,total_pop,proportion_pop,pop_rate,pop_rate_100,person_rate,person_rate_100,overall_rate,overall_rate_100,area
2015,1,478,63,1456,98927,0.014717923317193486,0.3282967032967033,32.82967032967033,0.04326923076923077,4.326923076923077,0.24052078805583915,24.052078805583914,NHS Grampian
2015,2,1804,194,4862,98927,0.04914735107705682,0.37104072398190047,37.10407239819005,0.03990127519539284,3.9901275195392842,0.24052078805583915,24.052078805583914,NHS Grampian
2015,3,2576,259,6076,98927,0.06141902615059589,0.423963133640553,42.3963133640553,0.04262672811059908,4.262672811059908,0.24052078805583915,24.052078805583914,NHS Grampian
2015,4,2553,303,8220,98927,0.08309157257371597,0.3105839416058394,31.05839416058394,0.03686131386861314,3.686131386861314,0.24052078805583915,24.052078805583914,NHS Grampian
2015,5,2256,258,8053,98927,0.08140345911631809,0.2801440456972557,28.01440456972557,0.03203774990686701,3.203774990686701,0.24052078805583915,24.052078805583914,NHS Grampian
2015,6,2961,343,11158,98927,0.11279023926733854,0.26537013801756587,26.537013801756586,0.030740276035131745,3.0740276035131746,0.24052078805583915,24.052078805583914,NHS Grampian
2015,7,2564,351,12310,98927,0.12443518958423888,0.2082859463850528,20.82859463850528,0.02851340373679935,2.851340373679935,0.24052078805583915,24.052078805583914,NHS Grampian
2015,8,3177,403,16225,98927,0.16400982542682987,0.195808936825886,19.5808936825886,0.024838212634822804,2.4838212634822803,0.24052078805583915,24.052078805583914,NHS Grampian
2015,9,2873,375,15631,98927,0.15800539791967816,0.18380142025462223,18.380142025462224,0.023990787537585566,2.3990787537585567,0.24052078805583915,24.052078805583914,NHS Grampian
2015,10,2552,307,14936,98927,0.15098001556703428,0.17086234600964115,17.086234600964115,0.02055436529191216,2.055436529191216,0.24052078805583915,24.052078805583914,NHS Grampian
2016,1,511,67,1458,99042,0.01472102744290301,0.350480109739369,35.0480109739369,0.045953360768175584,4.595336076817558,0.2722885240604996,27.22885240604996,NHS Grampian
2016,2,1823,207,4771,99042,0.04817148280527453,0.3821001886396982,38.21001886396982,0.04338713058059107,4.338713058059107,0.2722885240604996,27.22885240604996,NHS Grampian
2016,3,2823,277,6088,99042,0.06146887179176511,0.46369908015768724,46.36990801576872,0.04549934296977661,4.5499342969776615,0.2722885240604996,27.22885240604996,NHS Grampian
2016,4,2927,331,8210,99042,0.08289412572444013,0.356516443361754,35.651644336175394,0.040316686967113276,4.0316686967113275,0.2722885240604996,27.22885240604996,NHS Grampian
2016,5,2747,316,8111,99042,0.08189454978695906,0.3386758722722229,33.86758722722229,0.03895943780051782,3.8959437800517818,0.2722885240604996,27.22885240604996,NHS Grampian
2016,6,3517,396,11120,99042,0.11227560025039882,0.3162769784172662,31.627697841726622,0.03561151079136691,3.5611510791366907,0.2722885240604996,27.22885240604996,NHS Grampian
2016,7,2741,379,12275,99042,0.1239373195210113,0.22329938900203666,22.329938900203665,0.030875763747454175,3.0875763747454177,0.2722885240604996,27.22885240604996,NHS Grampian
2016,8,3590,430,16547,99042,0.1670705357323156,0.21695775669305614,21.695775669305615,0.025986583670756028,2.5986583670756027,0.2722885240604996,27.22885240604996,NHS Grampian
