year,simd2020_decile,total,people,pop,total_pop,proportion_pop,pop_rate,pop_rate_100,person_rate,person_rate_100,overall_rate,overall_rate_100,area
2015,1,74,66,1456,98927,0.014717923317193486,0.050824175824175824,5.082417582417582,0.04532967032967033,4.532967032967033,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,2,216,187,4862,98927,0.04914735107705682,0.0444261620732209,4.44261620732209,0.038461538461538464,3.8461538461538463,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,3,295,262,6076,98927,0.06141902615059589,0.04855167873601053,4.8551678736010535,0.043120473996050034,4.312047399605003,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,4,350,309,8220,98927,0.08309157257371597,0.04257907542579075,4.257907542579075,0.03759124087591241,3.759124087591241,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,5,308,274,8053,98927,0.08140345911631809,0.03824661616788774,3.824661616788774,0.03402458711039364,3.402458711039364,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,6,355,324,11158,98927,0.11279023926733854,0.03181573758738125,3.181573758738125,0.02903746191073669,2.9037461910736693,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,7,404,366,12310,98927,0.12443518958423888,0.03281884646628757,3.281884646628757,0.029731925264013,2.9731925264013,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,8,421,384,16225,98927,0.16400982542682987,0.025947611710323573,2.5947611710323573,0.023667180277349768,2.3667180277349766,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,9,409,370,15631,98927,0.15800539791967816,0.026165952274326658,2.616595227432666,0.02367091037041776,2.3670910370417757,0.032205565720177506,3.2205565720177507,NHS Grampian
2015,10,354,324,14936,98927,0.15098001556703428,0.02370112479914301,2.370112479914301,0.02169255490091055,2.169255490091055,0.032205565720177506,3.2205565720177507,NHS Grampian
2016,1,58,55,1458,99042,0.01472102744290301,0.039780521262002745,3.9780521262002746,0.03772290809327846,3.772290809327846,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,2,175,159,4771,99042,0.04817148280527453,0.0366799413120939,3.66799413120939,0.033326346677845314,3.3326346677845313,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,3,270,246,6088,99042,0.06146887179176511,0.044349540078843626,4.434954007884363,0.04040735873850197,4.040735873850197,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,4,313,288,8210,99042,0.08289412572444013,0.03812423873325213,3.812423873325213,0.03507917174177832,3.5079171741778317,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,5,291,259,8111,99042,0.08189454978695906,0.03587720379731229,3.5877203797312287,0.03193194427320922,3.1931944273209223,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,6,395,355,11120,99042,0.11227560025039882,0.03552158273381295,3.552158273381295,0.03192446043165468,3.192446043165468,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,7,393,355,12275,99042,0.1239373195210113,0.032016293279022404,3.2016293279022405,0.028920570264765785,2.8920570264765786,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,8,444,403,16547,99042,0.1670705357323156,0.026832658487943434,2.6832658487943433,0.024354867951894604,2.4354867951894605,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,9,360,335,15637,99042,0.15788251448880272,0.0230223188591162,2.30223188591162,0.021423546716122017,2.142354671612202,0.030744532622523777,3.0744532622523777,NHS Grampian
2016,10,346,319,14825,99042,0.14968397245612972,0.023338954468802697,2.3338954468802697,0.0215177065767285,2.15177065767285,0.030744532622523777,3.0744532622523777,NHS Grampian
2017,1,45,43,1463,99041,0.01477166022152442,0.030758714969241284,3.0758714969241283,0.02939166097060834,2.939166097060834,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,2,180,165,4620,99041,0.04664734806797185,0.03896103896103896,3.896103896103896,0.03571428571428571,3.571428571428571,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,3,226,211,6050,99041,0.06108581294615361,0.037355371900826446,3.7355371900826446,0.03487603305785124,3.487603305785124,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,4,328,296,8169,99041,0.0824809927201866,0.040151793365160976,4.0151793365160975,0.03623454523197454,3.6234545231974535,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,5,313,283,8080,99041,0.08158237497602003,0.03873762376237624,3.873762376237624,0.03502475247524753,3.5024752475247527,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,6,347,314,11077,99041,0.1118425702486849,0.03132617134603232,3.132617134603232,0.028347025367879388,2.8347025367879386,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,7,438,399,12366,99041,0.12485738229622076,0.03541969917515769,3.541969917515769,0.03226589034449297,3.226589034449297,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,8,465,433,16798,99041,0.16960652658999809,0.027681866888915347,2.7681866888915345,0.025776878199785688,2.5776878199785687,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,9,398,368,15762,99041,0.1591462121747559,0.025250602715391448,2.525060271539145,0.023347290952924756,2.3347290952924755,0.030886198645005605,3.0886198645005605,NHS Grampian
2017,10,319,298,14656,99041,0.14797911975848385,0.021765829694323145,2.1765829694323147,0.02033296943231441,2.033296943231441,0.030886198645005605,3.0886198645005605,NHS Grampian
2018,1,73,64,1454,99437,0.014622323682331526,0.050206327372764786,5.020632737276479,0.044016506189821183,4.401650618982118,0.03283486026328228,3.283486026328228,NHS Grampian
2018,2,211,194,4534,99437,0.04559670947434054,0.046537273930304365,4.653727393030437,0.04278782531980591,4.278782531980592,0.03283486026328228,3.283486026328228,NHS Grampian
2018,3,269,241,6080,99437,0.061144242082926875,0.04424342105263158,4.4243421052631575,0.03963815789473684,3.963815789473684,0.03283486026328228,3.283486026328228,NHS Grampian
2018,4,342,313,8109,99437,0.081549121554351,0.042175360710321866,4.217536071032186,0.03859908743371562,3.8599087433715624,0.03283486026328228,3.283486026328228,NHS Grampian
2018,5,305,280,8018,99437,0.08063396924685982,0.03803941132451983,3.803941132451983,0.034921426789723126,3.4921426789723125,0.03283486026328228,3.283486026328228,NHS Grampian
2018,6,332,312,11157,99437,0.11220169554592355,0.029757103163932958,2.975710316393296,0.02796450658779242,2.796450658779242,0.03283486026328228,3.283486026328228,NHS Grampian
2018,7,450,409,12292,99437,0.12361595784265414,0.03660917670029287,3.660917670029287,0.03327367393426619,3.327367393426619,0.03283486026328228,3.283486026328228,NHS Grampian
2018,8,497,466,16982,99437,0.17078149984412241,0.02926628194558945,2.926628194558945,0.027440819691437992,2.744081969143799,0.03283486026328228,3.283486026328228,NHS Grampian
2018,9,449,409,16025,99437,0.1611573156873196,0.028018720748829953,2.8018720748829953,0.025522620904836195,2.5522620904836195,0.03283486026328228,3.283486026328228,NHS Grampian
2018,10,337,316,14786,99437,0.14869716503917052,0.0227918301095631,2.2791830109563103,0.021371567699174896,2.13715676991749,0.03283486026328228,3.283486026328228,NHS Grampian
2019,1,68,54,1434,100230,0.01430709368452559,0.04741980474198047,4.741980474198047,0.03765690376569038,3.765690376569038,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,2,201,188,4491,100230,0.04480694402873391,0.0447561790247161,4.47561790247161,0.04186150077933645,4.186150077933645,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,3,283,263,6063,100230,0.06049087099670757,0.046676562757710705,4.667656275771071,0.043377865743031506,4.33778657430315,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,4,359,333,8136,100230,0.08117330140676444,0.04412487708947886,4.412487708947886,0.04092920353982301,4.092920353982301,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,5,282,258,7976,100230,0.07957697296218696,0.035356068204613844,3.5356068204613846,0.03234704112337011,3.2347041123370115,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,6,364,337,11254,100230,0.11228175197046793,0.032344055446952194,3.2344055446952193,0.02994490847698596,2.994490847698596,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,7,444,406,12384,100230,0.12355582161029632,0.035852713178294575,3.5852713178294575,0.03278423772609819,3.278423772609819,0.03321360869999002,3.3213608699990025,NHS Grampian
2019,8,537,485,17424,100230,0.17384016761448667,0.030819559228650137,3.0819559228650135,0.027835169880624427,2.7835169880624426,0.03321360869999002,3.3213608699990025,NHS Grampian
